PR_ID,Department,Item,PR_Date,Approval_Date,PO_Date,Vendor,Status
PR001,Operations,Packaging Boxes,2024-01-02,2024-01-04,2024-01-05,ABC Packaging,Completed
PR002,Logistics,Transport Services,2024-01-03,2024-01-06,2024-01-08,XYZ Logistics,Completed
PR003,Admin,Office Chairs,2024-01-05,2024-01-09,,OfficeKart,Pending
PR004,IT,Software License,2024-01-07,2024-01-10,2024-01-13,IT Solutions,Completed
PR005,Marketing,Printing Banners,2024-01-09,2024-01-12,2024-01-15,Printo,Completed
PR006,Admin,Housekeeping Service,2024-01-11,2024-01-15,,CleanPro,Pending
PR007,Operations,Food Packaging,2024-01-14,2024-01-16,2024-01-18,GreenPack,Completed
PR008,Logistics,Last Mile Delivery,2024-01-16,2024-01-20,2024-01-23,RapidLogix,Completed
PR009,IT,Laptop Procurement,2024-01-18,2024-01-22,,TechNova,Pending
PR010,Admin,Stationery Items,2024-01-20,2024-01-24,2024-01-26,PaperWorld,Completed
PR011,Operations,Packaging Boxes,2024-02-01,2024-02-03,2024-02-05,PackRight,Completed
PR012,Logistics,Warehouse Transport,2024-02-02,2024-02-06,2024-02-09,Metro Logistics,Completed
PR013,Admin,Office Desks,2024-02-04,2024-02-08,,DeskWorld,Pending
PR014,IT,Cloud Subscription,2024-02-06,2024-02-10,2024-02-14,CloudEdge,Completed
PR015,Marketing,Promo Flyers,2024-02-08,2024-02-12,2024-02-15,BrandWorks,Completed
PR016,Admin,Sanitation Supplies,2024-02-10,2024-02-14,,HygienePlus,Pending
PR017,Operations,Eco Packaging,2024-02-12,2024-02-15,2024-02-18,EcoPack,Completed
PR018,Logistics,Express Delivery,2024-02-14,2024-02-18,2024-02-21,QuickMove Logistics,Completed
PR019,IT,Network Hardware,2024-02-16,2024-02-20,,CyberSys,Pending
PR020,Admin,Printer Paper,2024-02-18,2024-02-22,2024-02-25,StationeryHub,Completed
PR021,Operations,Packaging Boxes,2024-03-01,2024-03-04,2024-03-06,FlexiPack,Completed
PR022,Logistics,Cold Chain Transport,2024-03-02,2024-03-06,2024-03-09,FastTrack Logistics,Completed
PR023,Admin,Office Storage Racks,2024-03-04,2024-03-08,,OfficeEase,Pending
PR024,IT,Security Software,2024-03-06,2024-03-10,2024-03-14,SoftServe IT,Completed
PR025,Marketing,Brand Posters,2024-03-08,2024-03-12,2024-03-15,MediaPrint,Completed
PR026,Admin,Floor Cleaning Service,2024-03-10,2024-03-14,,SparkClean,Pending
PR027,Operations,Custom Packaging,2024-03-12,2024-03-15,2024-03-18,PrimePack,Completed
PR028,Logistics,Intercity Transport,2024-03-14,2024-03-18,2024-03-21,CargoPlus,Completed
PR029,IT,Server Maintenance,2024-03-16,2024-03-20,,NextGen Tech,Pending
PR030,Admin,Office Files,2024-03-18,2024-03-22,2024-03-25,SupplyNest,Completed
PR031,Operations,Packaging Boxes,2024-04-01,2024-04-03,2024-04-05,SafeWrap,Completed
PR032,Logistics,Route Optimization Service,2024-04-02,2024-04-06,2024-04-09,FleetX Logistics,Completed
PR033,Admin,Office Chairs,2024-04-04,2024-04-08,,OfficeKart,Pending
PR034,IT,DevOps Tools License,2024-04-06,2024-04-10,2024-04-14,InnovaIT,Completed
PR035,Marketing,Campaign Banners,2024-04-08,2024-04-12,2024-04-15,AdSpark,Completed
PR036,Admin,Washroom Maintenance,2024-04-10,2024-04-14,,CarePlus Services,Pending
PR037,Operations,Reusable Packaging,2024-04-12,2024-04-15,2024-04-18,SafeWrap,Completed
PR038,Logistics,Emergency Transport,2024-04-14,2024-04-18,2024-04-21,TransMove,Completed
PR039,IT,Data Backup Services,2024-04-16,2024-04-20,,CodeWave,Pending
PR040,Admin,Printer Ink,2024-04-18,2024-04-22,2024-04-25,PaperLine,Completed
PR041,Operations,Packaging Boxes,2024-05-01,2024-05-03,2024-05-06,QuickPack,Completed
PR042,Logistics,Last Mile Delivery,2024-05-02,2024-05-06,2024-05-09,Metro Logistics,Completed
PR043,Admin,Office Tables,2024-05-04,2024-05-08,,DeskWorld,Pending
PR044,IT,Software Renewal,2024-05-06,2024-05-10,2024-05-14,TechNova,Completed
PR045,Marketing,Event Standees,2024-05-08,2024-05-12,2024-05-15,VisualEdge,Completed
PR046,Admin,Office Cleaning,2024-05-10,2024-05-14,,CleanMax,Pending
PR047,Operations,Food Packaging,2024-05-12,2024-05-15,2024-05-18,GreenPack,Completed
PR048,Logistics,City Distribution,2024-05-14,2024-05-18,2024-05-21,RapidLogix,Completed
PR049,IT,Firewall Upgrade,2024-05-16,2024-05-20,,CloudEdge,Pending
PR050,Admin,Office Stationery,2024-05-18,2024-05-22,2024-05-25,StationeryHub,Completed
